countof,Datum,years,Monat,Bundesland,Bundesland_count,Bundesland_count_scale,Stadt,Vorfallsart,Kurzbeschreibung,Verletzte,Tote,bewohnt,Politisch motivierte Tat nach Polizei- einschätzung?,Einzeltäter,Tätergruppe,Täter_organisiert,Ersttäter,Wiederholungstäter,Täter_ortsansässig,Täter_zugereist,ermittelnde_Polizei,ermittelnde_Staats_anwaltschaft,Verfahren_eingestellt,Anklage_erhoben,Urteil,Uhrzeit,Einbruch_Eingedrungen,lat,lng,cunti
1,10/31/2015,2015,10,Sachsen,13,1,Döbeln,Sachbeschädigung,"Unbekannte beschädigen an der Erstaufnahmeeinrichtung 18 Fensterscheiben, vermutlich mit einer Druckluftwaffe.",0,0,ja,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Chemnitz,nein,keine Auskunft,keine Auskunft,unbekannt,nein,51.119294,13.111433,1
1,8/25/2015,2015,8,Sachsen,13,1,Döbeln,Brandanschlag,"Auf dem Gelände der Unterkunft brennen zwei Mülltonnen. Der Wachschutz des Gebäudes entdeckt den Brand, kurz nachdem drei Unbekannte das Gelände in einem roten Auto verlassen. Die örtliche Polizei ermittelt. Weder das für politisch motivierte Taten zuständige Operative Abwehrzentrum noch die Staatsanwaltschaft können zu dem Vorfall etwas sagen. ",0,0,ja,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,  Döbeln,Chemnitz,,keine Auskunft,keine Auskunft,0 Uhr,nein,51.1167,13.1167,1
1,7/12/2015,2015,7,Sachsen,13,1,Radeberg,Sachbeschädigung,"Unbekannte machen Schlösser eines Gebäudes mit Klebstoff und Werkzeug unbrauchbar, das als Asylbewerberunterkunft genutzt werden soll. Sie verursachen 460 Euro Sachschaden. ",0,0,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Görlitz,Görlitz,,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,51.115141,13.917526,1
1,11/21/2015,2015,11,Sachsen,13,1,Neukirch/Lausitz,Sachbeschädigung,Glasscheiben eines Fensters einer künftigen Asylbewerberunterkunft werden durch einen Pflasterstein zerstört. Es entststeht 300 Euro Sachschaden. ,0,0,nein,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Staatsschutz Kripo Görlitz,"Görlitz, Zweigstelle Bautzen",nein,nein,nein,nachts,,51.098507,14.297414,1
1,8/23/2015,2015,8,Sachsen,13,1,Dresden-Stetzsch,Brandanschlag,"Gewalttäter schleudern Pflastersteine und einen Feuerwerkskörper auf eine Unterkunft im früheren Lindenhof-Hotel im Stadtteil Stetzsch. Ein Stein landet in einem Büro. Ein Feuerwerkskörper explodiert auf dem Fensterbrett eines Zimmers, in dem sich zwei Flüchtlinge aufhalten. Vier Monate später nimmt die Polizei zwei 18-Jährige fest. Mittleweile sind fünf Tatverdächtige identifiziert.",0,0,ja,ja,nein,ja,keine Auskunft,nein,nein,ja,nein,OAZ,Dresden,nein,nein,nein,abends,nein,51.082145,13.659695,1
1,7/26/2015,2015,7,Sachsen,13,1,Dresden-Stetzsch,Sachbeschädigung,"Gewalttäter schleudern Steine gegen eine Unterkunft, das ehemalige Hotel Lindenhof. Fensterscheiben gehen zu Bruch. Die Polizei nimmt kurz nach der Tat an einer nahen Tankstelle die Personalien von 27 Personen auf. Zudem wollen die Ermittler die Wurfgeschosse auf DNA-Spuren untersuchen. Die Staatsanwaltschaft äußert sich zu dem Vorfall nicht weiter.
",0,0,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Dresden,  Dresden,,keine Auskunft,keine Auskunft,zw 18.40 und 4.22 Uhr,nein,51.081875,13.661412,1
1,7/29/2015,2015,7,Sachsen,13,1,Dresden-Stetzsch,Sachbeschädigung,"Täter verteilen im Kellergeschoss einer Unterkunft, dem ehemaligen Hotel Lindenhof, eine übel riechende Flüssigkeit. Schon wenige Tage zuvor musste der Tag der offenen Tür wegen eines ähnlichen Vorfalls unterbrochen werden.
",0,0,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Dresden,  Dresden,,keine Auskunft,keine Auskunft,nachts,ja,51.081875,13.661412,1
1,12/26/2015,2015,12,Sachsen,13,1,Dresden-Stetzsch,Sachbeschädigung,Unbekannte Täter zünden im Eingangsbereich einer Unterkunft einen Sprengkörper. Die Explosion beschädigt mehrere Fensterscheiben. ,0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Polizei Dresden,Dresden,"läuft, gegen Unbekannt",nein,nein,5.15 Uhr,nein,51.080608,13.660382,1
1,6/26/2015,2015,6,Sachsen,13,1,Wilsdruff,Sachbeschädigung,"Unbekannte Täter verstoßen gegen das Sprengstoffgesetz, offenbar geht es um eine Flüchtlingsunterkunft im Ort. Die Staatsanwaltschaft will sich nicht weiter zu den Ermittlungen äußern. ",0,0,unbekannt,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),Dresden,,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,51.052413,13.536277,1
1,1/8/2015,2015,1,Sachsen,13,1,Dresden,Brandanschlag,"Unbekannte Täter entzünden in einem Wohnhaus für Flüchtlinge vor einer Wohnung  Papier. Zwei Wochen zuvor brannte im Keller des Hauses ein Sofa. Zu diesem Zeitpunkt war die Wohnung noch bewohnt. Es gibt Hinweise darauf, dass die Tat möglicherweise keinen fremdenfeindlichen Hintergrund hat.   ",0,0,ja,ja,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,unbekannt,Operatives Abwehrzentrum (OAZ),  Dresden,,nein,nein,unbekannt,ja,51.049329,13.738144,1
1,1/16/2015,2015,1,Sachsen,13,1,Dresden,Tätlicher Angriff,Ein Asylbewerber schaut aus dem Fenster und sieht zwei Deutsche. Der einen zeigt ihm mit der Hand die Geste eines Kehlschnittes.  Beide Tatverdächtige sind identifiziert. Das Verfahren läuft noch.,0,0,ja,ja,nein,ja,nein,nein,nein,ja,nein,Dresden ,  Dresden,nein,nein,nein,19 Uhr,nein,51.049329,13.738144,1
1,6/13/2015,2015,6,Sachsen,13,1,Dresden,Sachbeschädigung,"Fensterscheiben einer Wohnung zerbersten, in der Tschetschenen leben. Zerbrochenes Glas fällt in ein Kinderbett. Die Polizei hat zwei Beschuldigte ermittelt.",0,0,ja,ja,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,Operatives Abwehrzentrum (OAZ),Dresden,,nein,nein,früher Morgen,,51.049329,13.738144,1
1,10/31/2015,2015,10,Sachsen,13,1,Dresden,Brandanschlag,"Im Hotel Visa im Stadtteil Cossebaude bricht in der zweiten Etage an mehreren Stellen Feuer aus, das sich über mehrere Etagen ausbreitet. Erheblicher Sachschaden entsteht. Die Polizei ermittelt wegen Brandstiftung.",0,0,nein,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Dresden,keine Auskunft,keine Auskunft,keine Auskunft,0.15 Uhr,,51.049329,13.738144,1
1,10/2/2015,2015,10,Sachsen,13,1,Rochlitz,Sachbeschädigung,Unbekannte Täter werfen einen Stein in Pflastersteingröße gegen eine Unterkunft. An einem Fenster im ersten Stock zersplittert die äußere Scheibe vollständig.,0,0,unbekannt,ja,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,keine Auskunft,OAZ,Chemnitz,nein,keine Auskunft,keine Auskunft,unbekannt,nein,51.047514,12.797837,1
